Ingredient,Quantity,Unit,Additional Information
Extra virgin olive oil,2,tablespoons,
Shallots,0.5,cup,"(or yellow onion, chopped)"
Garlic,2,cloves,
Dry white wine,0.25,cup,
Heavy cream,1.5,cups,
Parmesan cheese,0.5,cup,
Dried thyme,0.5,teaspoon,
Dried parsley,0.5,teaspoon,
Salt,to taste,,
Black pepper,to taste,,
Mixed seafood,12,ounces,(frozen or fresh, thawed; such as shrimp, scallops, mussels)"
"Pasta (long, such as spaghetti, linguine, or fettuccine)",12,ounces
Fresh parsley,0.25,cup,(chopped, for garnish)
Lemon juice,1,tablespoon,(optional, freshly squeezed preferred)
