Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
chili powder,1,teaspoon,,7.614,1.3419,0.3634,0.3856
thyme,1,teaspoon,,0.8079999999999999,0.1956,0.0445,0.0134
paprika,1,teaspoon,smoked,6.486000000000001,1.2418,0.3252,0.2965
oregano,1,teaspoon,,2.65,0.6892,0.09,0.0428
cayenne pepper,1/2,teaspoon,ground,2.862,0.5097,0.1081,0.1554
cumin,1/2,teaspoon,ground,3.9375,0.4645,0.187,0.2338
onion powder,1/2,teaspoon,,4.092,0.9494,0.1249,0.0125
salt,1,teaspoon,,-,-,-,-
butter,2,tablespoons,,171.0,7.857,5.343,14.4
onion,1,,sliced,28.0,6.537999999999999,0.77,0.07
garlic,3,cloves,minced,13.41,2.9754,0.5724,0.045
head cabbage,1,,shredded,-,-,-,-
