Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
purpose flour,2,cups,,-,-,-,-
white sugar,1,cup,,774.0,199.96,0.0,0.0
baking powder,2,teaspoons,,4.876,2.5484,0.0,0.0
baking soda,1/2,teaspoon,,0.0,0.0,0.0,0.0
cinnamon,1 1/2,teaspoons,ground,-,-,-,-
salt,1,teaspoon,,-,-,-,-
buttermilk,1,cup,,-,-,-,-
vegetable oil,1/4,cup,,469.79,0.0,0.0,54.5
egg,2,,,143.0,0.72,12.56,9.51
vanilla extract,2,teaspoons,,24.191999999999997,1.0626,0.005,0.005
white sugar,2,tablespoons,,774.0,199.96,0.0,0.0
cinnamon,1,teaspoon,ground,-,-,-,-
margarine,2,teaspoons,,67.586,0.0846,0.0846,7.567
