Ingredient,Quantity,Unit,Additional Information
Pizza dough,1,,"(store-bought or homemade, enough for a 12-inch pizza)"
Pizza sauce,0.33,cup,
Mozzarella cheese,6,ounces,
Red bell pepper,0.5,,
Yellow bell pepper,0.5,,
Green bell pepper,0.5,,
Red onion,0.25,,
Mushrooms,1,cup,
Black olives,0.5,cup,"(optional, sliced)"
Artichokes (marinated and quartered),0.5,cup,
Fresh basil leaves,0.25,cup,"(chopped, for garnish)"
Extra virgin olive oil,1,tablespoon,
Dried oregano,0.5,teaspoon,
Kosher salt,to taste,,
Black pepper,to taste,,
