Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
olive oil,1,tablespoon,,119.34,0.0,0.0,13.5
garlic,1,clove,minced,4.47,0.9918,0.1908,0.015
onion,1/2,,minced,32.0,7.472,0.88,0.08
dill,1/2,teaspoon,chopped,3.2025,0.5793,0.1678,0.1527
thyme,1/2,teaspoon,chopped,0.40399999999999997,0.0978,0.0222,0.0067
salt,1/4,teaspoon,,-,-,-,-
black pepper,1/4,teaspoon,ground,1.4432,0.3677,0.0597,0.0187
dijon mustard,2,tablespoons,,-,-,-,-
balsamic vinegar,2,tablespoons,,28.16,5.4496,0.1568,0.0
beef stock,3/4,cup,,128.52,14.0049,4.7439,6.0669
cream,2,tablespoons,sour,47.52,1.1112,0.5856,4.644
