Ingredient,Quantity,Unit,Additional Information
dried chilies de arbol,4,,"(or other dried chilies, adjust for spiciness preference)"
vegetable oil,3,tablespoons,
raw cashews - whole,0.5,cup,
large shrimp,1,pound,
cornstarch,1.5,tablespoons,
soy sauce - light,3,tablespoons,
Shaoxing wine (or dry sherry),1,tablespoon,
garlic,3,cloves,
ginger,1,tablespoons,
red bell pepper,1,cup,thinly sliced
chicken broth,0.25,cup,
white sugar,1,tablespoon,
rice vinegar,1,tablespoon,
sesame oil,0.5,tablespoon,(toasted)
ground white pepper, to taste,,
green onions,,,"(optional, chopped, for garnish)"
