Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
cake flour,2,cups,,991.88,213.8022,22.468000000000004,2.3564
baking powder,1,teaspoon,,2.438,1.2742,0.0,0.0
baking soda,1,teaspoon,,0.0,0.0,0.0,0.0
salt,1/4,teaspoon,,-,-,-,-
ginger,3,teaspoons,ground,4.8,1.0662,0.1092,0.045
cinnamon,2,teaspoons,ground,-,-,-,-
clove,1/2,teaspoon,ground,2.877,0.6881,0.0627,0.1365
nutmeg,1/2,teaspoon,ground,5.775,0.5422,0.0642,0.3994
shortening,1/2,cup,,906.1,0.0,0.0,102.5
brown sugar,2/3,cup,,557.3333,143.8653,0.17600000000000002,0.0
maple syrup,1,cup,,819.0,211.176,0.126,0.18899999999999997
cream,2/3,cup,sour,303.6,7.0993,3.7413,29.67
egg,2,,,143.0,0.72,12.56,9.51
cream,1/3,cup,sour,303.6,7.0993,3.7413,29.67
