Ingredient,Quantity,Unit,Additional Information
Baguette bread - large,1,,
Extra virgin olive oil,3,tablespoons,
Garlic - large,2,cloves,(minced)
Ripe tomatoes - large,2,,(seeded and diced),
Fresh basil leaves,0.25,cup,(chiffonade - thinly sliced)
Balsamic vinegar,1,tablespoon,(optional)
Salt,to taste,,
Freshly ground black pepper,to taste,,
Parmesan cheese - shredded,0.25,cup,(optional)
Red onion - medium,0.25,,"(optional, thinly sliced)"
Fresh oregano leaves,1,tablespoon,"(optional, chopped)"
