Ingredient,Quantity,Unit,Additional Information
Olive Oil,1.5,tablespoons,
Yellow Onion,1,,
Bell Pepper (any color),1,,
Mushrooms,0.5,pound,(sliced)
Black Beans,1,15-ounce can,drained and rinsed
Corn,1,cup,"(frozen or canned, drained)"
Green Chiles,1,4-ounce can,"(optional, diced)"
Chili Powder,1,tablespoon,
Cumin,1,teaspoon,
Smoked Paprika,0.5,teaspoon,(optional)
Salt,0.75,teaspoon,
Black Pepper,0.25,teaspoon,
Vegetable Broth,1.5,cups,
Corn Tortillas,12,,
Cheddar Cheese - shredded,1.5,cups,"(optional; you can substitute, Monterey Jack, or vegan cheese)"
Fillings,,,"(optional; cooked rice, quinoa, pico de gallo)"
Cilantro,0.5,cup,"(for garnish, chopped)"
Lime Wedges,4,,"(for serving)"
