Ingredient,Quantity,Unit,Additional Information
flank steak,1,pound,"(thinly sliced against the grain, you can substitute skirt steak)"
cornstarch,2,tablespoons,
soy sauce,0.25,cup,
Shaoxing wine (or dry sherry),1,tablespoon,(optional)
vegetable oil,2,tablespoons,
garlic,2,cloves,
ginger,1,tablespoon,
oyster sauce,2,tablespoons,
brown sugar,1,teaspoon,light packed
white pepper,to taste,,
broccoli florets,12,ounces,"(optional,cut into bite-sized pieces,)"
red bell pepper,0.5,,"(optional, thinly sliced)"
green onions,,,"(for garnish, chopped)"
