Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
shortening,3/4,cup,,1359.15,0.0,0.0,153.75
margarine,3/4,cup,,1216.548,1.5228,1.5228,136.20600000000002
white sugar,1,cup,,774.0,199.96,0.0,0.0
brown sugar,1,cup,,836.0,215.798,0.264,0.0
peanut butter,1/2,cup,,759.81,27.8253,31.0374,64.4226
egg,2,,,143.0,0.72,12.56,9.51
vanilla extract,1,teaspoon,,12.095999999999998,0.5313,0.0025,0.0025
purpose flour,2,cups,,-,-,-,-
cocoa powder,1/3,cup,unsweetened,65.36,16.598,5.6187,3.9273
baking powder,1,teaspoon,,2.438,1.2742,0.0,0.0
baking soda,1,teaspoon,,0.0,0.0,0.0,0.0
cream tartar,1,teaspoon,,7.74,1.845,0.0,0.0
oat,1,cup,rolled,231.24,62.2468,16.262,6.6082
coconut,1,cup,flaked,283.2,12.184000000000001,2.6639999999999997,26.791999999999998
walnut,1/2,cup,chopped,963.56,0.0,0.0,109.0
chocolate chip,2,cups,semisweet,-,-,-,-
