Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
white sugar,1,cup,,774.0,199.96,0.0,0.0
brown sugar,1,cup,,836.0,215.798,0.264,0.0
purpose flour,2,tablespoons,,-,-,-,-
cinnamon,1/2,teaspoon,ground,-,-,-,-
clove,1/4,teaspoon,ground,1.4385,0.344,0.0313,0.0682
salt,1/4,teaspoon,,-,-,-,-
egg,3,,beaten,214.5,1.08,18.84,14.265
milk,2,cups,,297.68,23.3264,15.372,15.9576
butter,1,tablespoon,melted,85.5,3.9285,2.6715,7.2
vanilla extract,1,teaspoon,,12.095999999999998,0.5313,0.0025,0.0025
