Ingredient,Quantity,Unit,Additional Information
Pizza dough,1,,"(store-bought or homemade, enough for a 12-inch pizza)"
Pizza sauce,0.33,cup,
Mozzarella cheese,8,ounces,
Pepperoni,4,ounces,
Italian sausage,0.5,pound,"(mild or spicy, cooked and crumbled)"
Canadian bacon,3,slices,
Ground beef,0.25,pound,
Red pepper flakes (crushed),0.5,teaspoon,
Extra virgin olive oil,1,tablespoon,
Dried oregano,0.5,teaspoon,
Fresh parsley,,,"(optional, for garnish)"
Kosher salt,to taste,,
Black pepper,to taste,,
