Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
purpose flour,3,cups,,-,-,-,-
baking soda,2,teaspoons,,0.0,0.0,0.0,0.0
cream tartar,4 1/2,teaspoons,,34.83,8.3025,0.0,0.0
salt,1/2,teaspoon,,-,-,-,-
cinnamon,1,teaspoon,ground,-,-,-,-
allspice,1/4,teaspoon,ground,1.2492,0.3426,0.0289,0.0413
clove,1/4,teaspoon,ground,1.4385,0.344,0.0313,0.0682
nutmeg,1/4,teaspoon,ground,2.8875,0.2711,0.0321,0.1997
ginger,1/4,teaspoon,ground,0.4,0.0888,0.0091,0.0038
butter,1/2,cup,,684.0,31.428,21.372,57.6
molasses,2,tablespoons,,122.1625,31.48,0.0,0.0421
milk,1,cup,,148.84,11.6632,7.686,7.9788
