Ingredient,Quantity,Unit,Additional Information
boneless skinless chicken breasts,1,pound,
cornstarch,2,tablespoons,
soy sauce,2,tablespoons,
Shaoxing wine (or dry sherry),1,tablespoon,
vegetable oil,2,tablespoons,
dried red chilies,4,,"(whole, adjust for spice preference)"
Sichuan peppercorns,10,,
garlic,3,cloves,
ginger,1,tablespoon,
"bell pepper (red, yellow, or orange) - large",1,,
water chestnuts,0.5,cup,sliced
roasted peanuts,0.5,cup,chopped
green onions,4,,(chopped)
sesame oil,1,teaspoon,
sugar,1,teaspoon,
white vinegar,1,tablespoon,
