Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
white sugar,1/2,cup,,387.0,99.98,0.0,0.0
purpose flour,5,tablespoons,,-,-,-,-
salt,1,pinch,,-,-,-,-
milk,2,cups,,297.68,23.3264,15.372,15.9576
egg yolk,2,,beaten,109.48,1.2206,5.3924,9.0236
vanilla extract,1,teaspoon,,12.095999999999998,0.5313,0.0025,0.0025
shortening,1/2,cup,,906.1,0.0,0.0,102.5
water,1,cup,,0.0,0.0,0.0,0.0
purpose flour,1,cup,,-,-,-,-
salt,1,pinch,,-,-,-,-
egg,4,,,286.0,1.44,25.12,19.02
