Ingredient,Quantity,Unit,Additional Information
boneless skinless chicken thighs,1,pound,cubed
cornstarch,2.5,tablespoons,
soy sauce,0.25,cup,
Shaoxing wine (or dry sherry),1,tablespoon,
Sichuan peppercorns,1,tablespoon,"(ground, adjust to taste)"
vegetable oil,as needed,,for frying
garlic,3,cloves,
minced ginger,1,tablespoon
dried red chilies,5,,"(whole or chopped,increase depending on spice preference)"
green onions,3,,"(chopped, divided)"
white pepper,to taste,,
sesame oil,1,tablespoon,"(optional, toasted)"
