Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
bacon,10,slices,cut,1167.6,3.5839999999999996,35.336,111.132
onion,5,,sliced,320.0,74.72,8.8,0.8
salt,1,teaspoon,,-,-,-,-
black pepper,1/8,teaspoon,ground,0.7216,0.1839,0.0299,0.0094
milk,1/2,cup,,74.42,5.8316,3.843,3.9894
heavy cream,1/2,cup,,204.0,1.6440000000000001,1.704,21.648000000000003
purpose flour,1,tablespoon,,-,-,-,-
egg,4,,,286.0,1.44,25.12,19.02
nutmeg,1,pinch,ground,0.7219,0.0678,0.008,0.0499
pie crust,1,,unbaked,-,-,-,-
