Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
chicken broth,1,cup,low sodium,78.12,1.89,11.1384,2.6208
water,1/2,cup,,0.0,0.0,0.0,0.0
couscous,1,cup,,650.48,133.9539,22.0748,1.1072
cucumber,1,,seeded diced,15.96,2.8728,0.7847,0.2128
green onion,3,,chopped,57.51,12.2262,2.0661,1.0011
carrot,1,,grated,52.48,12.2624,1.1904,0.3072
parsley,1,cup,chopped,21.6,3.798,1.7819999999999998,0.474
extra virgin olive oil,1/4,cup,,-,-,-,-
lemon juice,1/4,cup,,13.42,4.209,0.2135,0.1464
cumin,1/4,teaspoon,ground,1.9688,0.2323,0.0935,0.1169
salt,1/2,teaspoon,,-,-,-,-
black pepper,1/2,teaspoon,ground,2.8865,0.7354,0.1195,0.0375
feta cheese,1/4,cup,crumbled,99.0,1.5338,5.3288,7.98
