Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
ghee,3,tablespoons,,-,-,-,-
cumin seed,1,teaspoon,,7.875,0.929,0.374,0.4677
turmeric,1,teaspoon,,9.36,2.0142,0.2904,0.0975
coriander,1,teaspoon,ground,5.364,0.9898,0.2227,0.3199
salt,1,teaspoon,,-,-,-,-
mustard seed,1/2,teaspoon,,5.08,0.2809,0.2608,0.3624
cayenne pepper,1/2,teaspoon,ground,2.862,0.5097,0.1081,0.1554
potato,6,,peeled diced,-,-,-,-
water,2,cups,,0.0,0.0,0.0,0.0
yogurt,1,cup,,149.45,11.417,8.5015,7.9625
green pea,2/3,cup,,78.3,13.9683,5.2393,0.3867
