Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
purpose flour,1 1/4,cups,,-,-,-,-
white sugar,3/4,cup,,580.5,149.97,0.0,0.0
baking powder,1,teaspoon,,2.438,1.2742,0.0,0.0
salt,1/2,teaspoon,,-,-,-,-
cinnamon,1,teaspoon,ground,-,-,-,-
clove,1/4,teaspoon,ground,1.4385,0.344,0.0313,0.0682
shortening,1/3,cup,,604.0667,0.0,0.0,68.3333
milk,3/4,cup,,111.63,8.7474,5.7645,5.9841
egg,1,,,71.5,0.36,6.28,4.755
walnut,1,cup,chopped,1927.12,0.0,0.0,218.0
white sugar,1/4,cup,,580.5,149.97,0.0,0.0
water,1/4,cup,,0.0,0.0,0.0,0.0
honey,1/4,cup,,-,-,-,-
lemon juice,1,teaspoon,,1.1183,0.3508,0.0178,0.0122
