Ingredient,Quantity,Unit,Additional Information
Part A,"For the Tofu"
Firm tofu,1,block,(about 14 oz)
Water,,,enough to cover
Part B,"For the Braising Liquid"
Vegetable oil,1,tablespoon
Garlic,2,cloves,(minced)
Ginger,1,tablespoon,(minced)
Shiitake mushrooms - dried,6,,(soaked in hot water for 30 minutes)
Cremini mushrooms,8,ounces,(sliced)
Soy sauce - low-sodium,0.25,cup,
Shaoxing wine (or dry sherry),2,tablespoons,(optional)
Vegetable broth,1,cup
Sugar,1,tablespoon
Sesame oil,1,teaspoon,(optional)
Cornstarch,1,tablespoon
Water,2,tablespoons
Part A,"For Serving"
Green onions,,,"(optional, chopped)"
Sesame seeds,,,(optional)
