Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
garbanzo bean,1,can,drained,1133.4333,188.7556,61.3793,18.1109
parsley,3/4,cup,chopped,16.2,2.8485,1.3365,0.3555
onion,1/2,,chopped,32.0,7.472,0.88,0.08
purpose flour,1/4,cup,,-,-,-,-
garlic,2,cloves,chopped,8.94,1.9836,0.3816,0.03
cumin,1 1/2,teaspoons,ground,11.8125,1.3936,0.561,0.7015
baking powder,1,teaspoon,,2.438,1.2742,0.0,0.0
coriander,1,teaspoon,ground,5.364,0.9898,0.2227,0.3199
salt,1/2,teaspoon,,-,-,-,-
lemon juice,1/2,teaspoon,,0.5592,0.1754,0.0089,0.0061
black pepper,1,pinch,ground,0.3608,0.0919,0.0149,0.0047
vegetable oil,1 1/2,cups,,2818.74,0.0,0.0,327.0
