Ingredient,Quantity,Unit,Additional Information
Vegetable oil,2,tablespoons
Broccoli florets,2,cups
Bell peppers (any color),1,cup,(sliced)
Carrots,1,cup,(julienned)
Snap peas,1,cup,(trimmed)
Baby corn,1,cup,(drained)
Mushrooms,1,cup,"(sliced; shiitake, white, or button)"
Water chestnuts,1,cup,(sliced, drained)
Bamboo shoots,1,cup,"(sliced, drained, optional)"
Bok choy,1,cup,"(baby bok choy, chopped)"
Garlic,2,cloves,(minced)
Ginger,1,tablespoon,"(minced, optional)"
Soy sauce,2,tablespoons,(light or dark)
Oyster sauce,1,tablespoon,(optional)
Sesame oil,1,teaspoon,(toasted)
Cornstarch,1,tablespoon
Water,2,tablespoons
Salt,to taste
Black pepper,to taste
"Cooked protein (chicken, shrimp, tofu)",1,cup,(optional; cubed or sliced)
Red chili flakes,to taste,,(for extra spice)
Chopped fresh cilantro,to taste,,(for garnish)
