Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
vegetable oil,1,tablespoon,,117.23200000000001,0.0,0.0,13.6
pork chop,4,,boneless trimmed,3284.0127,664.7858,107.2294,21.4096
garlic,1,clove,minced,4.47,0.9918,0.1908,0.015
beef broth,1/4,cup,,4.2,0.024,0.684,0.132
soy sauce,1/4,cup,,33.7875,3.1429,5.1892,0.3634
brown sugar,2,tablespoons,,68.4,17.6562,0.0216,0.0
vegetable oil,2,teaspoons,,117.23200000000001,0.0,0.0,13.6
red pepper flake,1/4,teaspoon,,-,-,-,-
cornstarch,2,teaspoons,,20.32,4.8677,0.0139,0.0027
water,2,tablespoons,,0.0,0.0,0.0,0.0
