Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
purpose flour,3,cups,,-,-,-,-
salt,1,teaspoon,,-,-,-,-
baking powder,1/2,teaspoon,,1.219,0.6371,0.0,0.0
butter,1,cup,,1368.0,62.856,42.744,115.2
egg,4,,,286.0,1.44,25.12,19.02
white vinegar,2,teaspoons,distilled,1.8,0.004,0.0,0.0
water,3 1/2,cups,,0.0,0.0,0.0,0.0
lentil,1,cup,,81.62,17.0478,6.8992,0.4235
potato,3,,chopped,-,-,-,-
onion,1,,chopped,64.0,14.944,1.76,0.16
olive oil,1,tablespoon,,119.34,0.0,0.0,13.5
salt,1,teaspoon,,-,-,-,-
