Ingredient,Quantity,Unit,Additional Information
Boneless skinless chicken thighs,2,pounds
Plain yogurt,1,cup,
Lemon juice,0.25,cup,
Olive oil,0.25,cup,
Garlic,4,cloves,
Ground cumin,2,teaspoons,
Paprika,2,teaspoons,
Ground turmeric,1,teaspoon,
Ground cinnamon,1,teaspoon,
Ground coriander,1,teaspoon,
Ground cloves,0.25,teaspoon,
Salt,1,teaspoon,
Black pepper,0.5,teaspoon,
Pita bread,4,pieces,
Tomatoes - medium,2,,
Cucumbers - medium,2,,
Red onion - small,1,,
Fresh parsley,,,"(optional, for garnish)"
Tahini,,,"(optional, for serving)"
