Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
brown sugar,2,cups,,1672.0,431.596,0.528,0.0
white sugar,1,cup,,774.0,199.96,0.0,0.0
butter,2,cups,softened,2736.0,125.712,85.488,230.4
egg,4,,,286.0,1.44,25.12,19.02
vanilla extract,2,tablespoons,,74.88,3.2889999999999997,0.0156,0.0156
baking soda,1,teaspoon,,0.0,0.0,0.0,0.0
salt,1/2,teaspoon,,-,-,-,-
wheat flour,4 3/4,cups,,1938.0,410.22900000000004,75.297,14.25
pecan,1,cup,ground,286.3467,53.663999999999994,5.8933,6.032
chocolate chip,4,cups,semisweet,-,-,-,-
