Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
chicken,1,,cut,-,-,-,-
purpose flour,1/2,cup,,-,-,-,-
salt,1,teaspoon,seasoned,-,-,-,-
thyme,1/2,teaspoon,,0.40399999999999997,0.0978,0.0222,0.0067
black pepper,1/4,teaspoon,ground,1.4432,0.3677,0.0597,0.0187
shortening,1/4,cup,,453.05,0.0,0.0,51.25
paprika,2,tablespoons,,38.352,7.3426,1.923,1.7530000000000001
garlic salt,1/2,teaspoon,,-,-,-,-
water,2 1/2,cups,,0.0,0.0,0.0,0.0
onion,2,,peeled sliced,128.0,29.888,3.52,0.32
purpose flour,2,tablespoons,,-,-,-,-
milk,1/2,cup,,74.42,5.8316,3.843,3.9894
