Ingredient,Quantity,Unit,Additional Information
Boneless skinless chicken breasts,1,pound,"(cooked and shredded, substitute thighs)"
Olive oil,1,tablespoon,
Yellow onion - medium,0.5,,"(diced)"
Red bell pepper - medium,0.5,,(diced),
Chili powder,1,teaspoon,
Cumin,0.5,teaspoon,
Garlic powder,0.5,teaspoon,
Salt,1,teaspoon,
Black pepper,0.5,teaspoon,
Cheddar cheese - shredded,1.5,cups,"(or substitute Monterey Jack or Mexican blend)"
Flour tortillas - large,8,,
Chopped fresh cilantro,0.25,cup,(optional)
Salsa,to taste,,
Sour cream,to taste,,
Pickled jalapenos,to taste,,
