Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
brown sugar,1 1/4,cups,,1045.0,269.7475,0.33,0.0
shortening,1/4,cup,,453.05,0.0,0.0,51.25
egg,1,,,71.5,0.36,6.28,4.755
milk,1/4,cup,,37.21,2.9158,1.9215,1.9947
vanilla extract,1 1/2,teaspoons,,18.144000000000002,0.797,0.0038,0.0038
baking soda,1 1/2,teaspoons,,0.0,0.0,0.0,0.0
cinnamon,1 1/2,teaspoons,ground,-,-,-,-
molasses,1,cup,unsulfured,977.3,251.8401,0.0,0.337
purpose flour,6,cups,,-,-,-,-
egg,1,,beaten,71.5,0.36,6.28,4.755
