Ingredient,Quantity,Unit,Additional Information
short-grain white rice - cooked,3,cups,
kimchi,1,cup,
bacon,4,ounces,"(optional, diced;or 4 oz ham, spam, or 1 can drained tuna)"
onion - medium,0.25,,
green onion,1,stalk,"(green and white parts, chopped)"
carrot - small,1,,"(optional,finely chopped)"
sesame oil,2,tablespoons,
vegetable oil,1,tablespoon,
soy sauce,1,tablespoon,
gochujang (Korean chili paste),1,teaspoons,"(optional, adjust to spice preference)"
eggs,2,,"(optional, scrambled)"
kimchi juice,0.25,cup,"(optional, from kimchi jar)"
white sesame seeds,,,"(optional,for garnish)"
