Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
white sugar,1,cup,,774.0,199.96,0.0,0.0
vegetable oil,1,cup,,1879.16,0.0,0.0,218.0
egg,2,,,143.0,0.72,12.56,9.51
honey,3/4,cup,,-,-,-,-
vanilla extract,1,teaspoon,,12.095999999999998,0.5313,0.0025,0.0025
purpose flour,2 1/2,cups,,-,-,-,-
baking powder,1,teaspoon,,2.438,1.2742,0.0,0.0
baking soda,1,teaspoon,,0.0,0.0,0.0,0.0
salt,1,teaspoon,,-,-,-,-
cinnamon,1,teaspoon,ground,-,-,-,-
allspice,1/4,teaspoon,ground,1.2492,0.3426,0.0289,0.0413
apple,3,,peeled cored shredded,195.0,51.7875,0.975,0.6375
walnut,3/4,cup,chopped,1445.34,0.0,0.0,163.5
