Ingredient,Quantity,Unit,Additional Information
Cooked white rice,2,cups,"(cold, preferably leftover from the day before)"
Eggs - large,3,,
Vegetable oil,2,tablespoons
Soy sauce,3,tablespoons,"(light or dark, to taste)"
Sesame oil,1,teaspoon,(toasted)
Frozen peas,0.5,cup
Green onions,0.5,cup,"(chopped, white and green parts)"
Shrimp,1,cup,(optional)
Carrots - diced,0.5,cup,"(optional)"
Red bell pepper,0.5,cup,"(optional, chopped)"
Garlic,1,clove,"(optional, minced)"
Salt,to taste
Black pepper,to taste
