Ingredient,Quantity,Unit,Additional Information
Extra virgin olive oil,2,tablespoons,
Onion - medium,1,,
Garlic,2,cloves,
Crushed tomatoes,1,28-ounce can,
Tomato paste,6,ounces,
Dried oregano,1,teaspoon,
Dried basil,0.5,teaspoon,
Red pepper flakes (crushed),0.5,teaspoon,
White wine (dry),0.5,cup,
Water,0.5,cup,
Kosher salt,to taste,,
Black pepper,to taste,,
Mixed seafood,12,ounces,"(frozen or fresh, thawed; such as shrimp, mussels, scallops, calamari)"
"Pasta (long, such as spaghetti, linguine, or fettuccine)",12,ounces
Fresh parsley,0.25,cup,"(optional, chopped, for garnish)"
Lemon juice,1,tablespoon,"(optional,freshly squeezed)"
Unsalted butter,2,tablespoons,
