Step,Instruction
1,"Cut the chicken breast into small bite-sized pieces. Season with salt and pepper."
2,"Finely chop the onion and mince the garlic cloves. Peel and dice the carrots into small cubes."
3,"In a large skillet or wok, heat 1 tablespoon of vegetable oil over medium-high heat."
4,"Add the seasoned chicken pieces to the skillet and cook until browned and cooked through, about 5-6 minutes. Remove the chicken from the skillet and set aside."
5,"In the same skillet, add another tablespoon of vegetable oil. Add the beaten eggs and scramble until fully cooked. Remove the scrambled eggs from the skillet and set aside."
6,"Add the remaining tablespoon of vegetable oil to the skillet. Add the chopped onion, minced garlic, and diced carrots. Sauté until the vegetables are tender, about 3-4 minutes."
7,"Add the frozen peas to the skillet and cook for an additional 1-2 minutes."
8,"Add the cooked rice to the skillet, breaking up any clumps, and stir-fry for 2-3 minutes until heated through."
9,"Return the cooked chicken and scrambled eggs to the skillet. Mix well with the rice and vegetables."
10,"Drizzle the soy sauce and sesame oil over the fried rice. Stir until everything is evenly coated."
11,"Taste and adjust seasoning with salt and pepper if needed."
12,"Garnish with chopped green onions before serving."
13,"Serve the chicken fried rice hot as a main dish or as a side. Enjoy!"
