Step,Instruction
1,"Preheat oven to 375 degrees Fahrenheit."
2,"Peel and cube potatoes. Boil until tender, then drain and mash with butter, milk, eggs, salt, and pepper."
3,"Cut salmon and cod into bite-sized pieces."
4,"Cook shrimp until pink and opaque."
5,"Melt butter in a pan, add flour, cook for a minute, then gradually whisk in fish stock and milk."
6,"Bring to a boil, reduce heat, and simmer until thickened."
7,"Stir in half-and-half, parsley, and cooked seafood."
8,"Season with salt and pepper."
9,"Pour the seafood mixture into a baking dish."
10,"Top with mashed potatoes and sprinkle with cheddar cheese."
11,"Bake for 30-35 minutes, or until golden and bubbly."
