Step,Instruction
1,"Preheat a skillet or griddle over medium heat."
2,"Thinly slice the bell peppers, onion, and jalapeño peppers (if using)."
3,"In a separate skillet, heat 1 tablespoon of olive oil over medium heat. Add the sliced bell peppers, onion, and jalapeño peppers (if using). Sauté until softened, about 5-6 minutes. Season with salt and pepper. Remove from heat and set aside."
4,"Brush one side of each flour tortilla with olive oil."
5,"Place one tortilla, oiled side down, onto the preheated skillet or griddle."
6,"Sprinkle shredded cheese evenly over the tortilla, leaving a small border around the edges."
7,"Evenly distribute the cooked chicken and sautéed vegetables over the cheese."
8,"Sprinkle additional shredded cheese on top of the chicken and vegetables."
9,"Place another tortilla on top, oiled side facing up."
10,"Cook the quesadilla for 2-3 minutes on each side, or until the tortillas are golden brown and the cheese is melted."
11,"Repeat the process with the remaining tortillas and filling ingredients."
12,"Once cooked, transfer the quesadillas to a cutting board and let them rest for a minute before slicing into wedges."
13,"Serve the chicken quesadillas hot with your favorite toppings such as salsa, guacamole, sour cream, or chopped cilantro. Enjoy!"
