step,instruction
1,"Preheat your oven to 475°F if using a conventional oven, or according to your pizza oven's instructions."
2,"If using store-bought dough, let it come to room temperature for about 30 minutes.** If making your own dough, follow the recipe's instructions for proofing and preheating."
3,"On a lightly floured surface, gently stretch the pizza dough into a 12-inch round. You can use your hands or a rolling pin."
4,"Transfer the stretched dough to a pizza peel or baking sheet dusted with cornmeal."
5,"Spread a thin layer of pizza sauce evenly over the pizza dough, leaving a 1-inch border around the edge."
6,"Sprinkle the shredded mozzarella cheese over the pizza sauce. You can adjust the amount of cheese to your preference."
7,"Optional:** Add a sprinkle of grated Parmesan cheese for a saltier and sharper flavor."
8,"Drizzle the pizza with a tablespoon of olive oil."
9,"Optional: Sprinkle a pinch of dried oregano for a touch of herbal flavor."
10,"Bake the pizza for 10-15 minutes, or until the crust is golden brown and the cheese is melted and bubbly."
11,"**Keep an eye on your pizza as it bakes, as ovens can vary."
12,"Once the pizza is cooked, remove it from the oven and let it cool slightly on a wire rack for a few minutes before slicing."
13,"Optional: Garnish the pizza with fresh chopped basil leaves for a pop of color and freshness."
14,"Serve your delicious Cheese Pizza hot and enjoy!"
