step,instruction
1,"Heat the olive oil in a large pot or Dutch oven over medium heat. Add the chopped onion and cook until softened and translucent, about 5 minutes. Stir occasionally to prevent browning."
2,"Stir in the minced garlic and cook for an additional minute until fragrant. Do not let the garlic burn."
3,"Pour in the crushed tomatoes, tomato paste, oregano, basil, and red pepper flakes (if using). Season with salt and pepper to taste. Bring to a simmer and cook for 20 minutes, stirring occasionally, to thicken the sauce."
4,"Optional: While the sauce simmers, you can cook the pasta according to package instructions in a separate pot of salted boiling water. Drain the pasta and set it aside."
5,"If using frozen seafood, thaw it completely before adding it to the sauce."
6,"Increase the heat to medium-high and add the white wine and water to the simmering tomato sauce. Bring to a simmer and cook for a few minutes, or until slightly reduced."
7,"Add the mixed seafood to the pan. Gently stir to combine the seafood with the sauce. Cover the pot and cook for 5-7 minutes, or until the seafood is cooked through and opaque."
8,"Optional: If using fresh pasta, you can add it directly to the pan with the seafood sauce in the last minute or two of cooking, allowing it to cook and absorb the flavors of the sauce."
9,"If using cooked pasta: Add the drained pasta to the pan with the seafood and sauce. Toss gently to coat the pasta evenly."
10,"Optional: Stir in the fresh parsley, lemon juice (if using), and butter (if using) to the pasta and seafood mixture. Toss to combine and heat through for an additional minute."
11,"Season the seafood pasta with additional salt and pepper to taste (if needed)."
12,"Serve the Seafood Pasta with Tomato Sauce immediately, garnished with fresh parsley (optional)."
13,"Enjoy this flavorful and easy one-pan seafood pasta dish!"
