Step Number,Instruction
1,"Preheat your oven to 325°F."
2,"In a medium bowl, mix the graham cracker crumbs, 1/4 cup of sugar, and melted butter until well combined."
3,Press the crumb mixture into the bottom of a 9-inch springform pan to form the crust.
4,"In a large bowl, beat the cream cheese and 1 and 1/4 cups of sugar until smooth."
5,"Add the sour cream and vanilla extract, mixing until combined."
6,"Add the eggs one at a time, beating on low speed after each addition just until blended."
7,"Pour the cream cheese mixture over the crust in the springform pan.
8,"Bake in the preheated oven for 55 to 70 minutes, or until the center is almost set."
9,"Turn off the oven, and let the cheesecake cool in the oven with the door slightly open for 1 hour."
10,"Remove the cheesecake from the oven and cool completely at room temperature."
11,"Refrigerate the cheesecake for at least 4 hours or overnight before serving."
