step,instruction
1,"Preheat your oven to 475°F if using a conventional oven, or according to your pizza oven's instructions."
2,"If using store-bought dough, let it come to room temperature for about 30 minutes. If making your own dough, follow the recipe's instructions for proofing and preheating."
3,"On a lightly floured surface, gently stretch the pizza dough into a 12-inch round. You can use your hands or a rolling pin."
4,"Transfer the stretched dough to a pizza peel or baking sheet dusted with cornmeal."
5,"In a small bowl, combine the crushed tomatoes, olive oil, minced garlic, and oregano. Season with salt and pepper (to taste)."
6,"Spread the tomato sauce evenly over the pizza dough, leaving a 1-inch border around the edge."
7,"Top the pizza with the sliced or torn mozzarella cheese."
8,"Bake the pizza for 10-15 minutes, or until the crust is golden brown and the cheese is melted and bubbly."
9,"Keep an eye on your pizza as it bakes, as ovens can vary."
10,"Once the pizza is cooked, remove it from the oven and let it cool slightly on a wire rack for a few minutes before slicing."
11,"Garnish the pizza with fresh chopped basil leaves and serve hot. Enjoy your delicious Pizza Margherita!"
