step,instruction
1,"Heat olive oil in a large skillet over medium-high heat until shimmering."
2,"Add onion and cook, stirring occasionally, until softened (about 4 minutes)."
3,"Add garlic and cook for 30 seconds more, until fragrant."
4,"Add ground beef and cook, breaking it up with a spoon, until browned (about 5-7 minutes)."
5,"Stir in chili powder, cumin, smoked paprika (if using), oregano, salt, and black pepper. Cook for 1 minute to toast the spices."
6,"Pour in crushed tomatoes and beef broth. Bring to a simmer, scraping up any browned bits from the bottom of the pan."
7,"Reduce heat to medium-low and simmer for 10-15 minutes, or until the beef is cooked through and the sauce thickens slightly."
8,"While the beef simmers, warm corn tortillas according to package instructions (microwave, stovetop, etc.). You can also wrap them in foil and heat in a warm oven (200°F) for 5-10 minutes."
9,"Prepare your desired fillings (cooked rice, beans, etc.)."
10,"Assemble enchiladas by laying a warmed tortilla flat. Spread a layer of beef mixture down the center. You can also add a sprinkle of cheese and your desired fillings (rice, beans, etc.) if using."
11,"Fold the bottom edge of the tortilla up and over the filling. Then fold in the sides, like a business letter. Roll the enchilada tightly, starting from the bottom."
12,"Pour about 1 cup of enchilada sauce into the bottom of a 9x13 inch baking dish. Arrange the rolled enchiladas seam side down in the baking dish."
13,"Pour the remaining enchilada sauce over the top of the enchiladas, ensuring they are mostly covered."
14,"Preheat oven to 350°F."
15,"Bake for 20-25 minutes, or until the cheese is melted and bubbly and the enchiladas are heated through."
16,"Let cool slightly before serving. Garnish with your desired toppings (sour cream, chopped onion, cilantro, chopped avocado, salsa, etc.)."
