Step,Instruction
1,"Press tofu to remove excess water and cut into cubes."
2,"Cut broccoli into florets."
3,"Mince garlic."
4,"In a small bowl, combine soy sauce, oyster sauce, cornstarch, and water."
5,"Heat sesame oil in a large skillet or wok over medium-high heat."
6,"Add tofu cubes and cook until golden brown on all sides."
7,"Remove tofu from skillet and set aside."
8,"Add garlic to the skillet and cook until fragrant."
9,"Add broccoli and stir-fry for 3-4 minutes, or until tender-crisp."
10,"Return tofu to the skillet and pour the sauce over the vegetables."
11,"Bring to a boil, then reduce heat and simmer until sauce thickens."
12,"Season with salt and pepper to taste."
13,"Serve immediately with rice or noodles."
