step,instruction
1,"Wash the butternut squash and cut off the ends."
2,"Peel the squash (optional) and cut it in half lengthwise. Scoop out the seeds and discard."
3,"Decide on your desired texture: For cubed squash, cut the halves into 1-inch cubes. For softer, mashed squash, leave the halves intact."
4,"Place the squash (cubed or halved) in the Instant Pot inner pot."
5,"Pour 1 cup of water into the inner pot."
6,"Add a pat of butter (optional) for extra flavor."
7,"Close the lid of the Instant Pot and ensure the pressure valve is set to Sealing."
8,"Select the Manual setting and set the cooking time to 3 minutes for cubed squash (desired for salads, roasting, etc.), or 8 minutes for halved squash (desired for mashing, stuffing, etc.)"
9,"Once the cooking time is complete, you can perform either a Quick Release or Natural Release of pressure.  Quick Release: Carefully turn the pressure valve to Venting to release the steam quickly.  Natural Release: Let the pressure release naturally for 10 minutes, then carefully turn the valve to Venting to release any remaining steam."
10,"Open the lid and carefully remove the squash with tongs."
11,"Cubed squash can be used immediately in your recipe."
12,"For mashed squash, transfer the halved squash to a bowl and mash with a fork or potato masher. Season with salt and pepper to taste."
13,"Enjoy your Instant Pot butternut squash!"
