Step,Instruction
1,"Press tofu to remove excess water and cut into thick slabs."
2,"Combine cornstarch with a small amount of water to form a slurry."
3,"Coat tofu slabs with cornstarch slurry."
4,"Heat vegetable oil in a large skillet over medium-high heat."
5,"Cook tofu slabs until crispy on both sides."
6,"Brush tofu with barbecue sauce."
7,"Shred cabbage and carrot."
8,"Combine mayonnaise, apple cider vinegar, sugar, salt, and pepper for coleslaw."
9,"Toss cabbage and carrot with coleslaw dressing."
10,"Warm buns and assemble sandwiches with tofu, coleslaw, and any desired toppings."
