Step,Instruction
1,Roasted sweet potato cubes will complement a variety of meals during fall.
2,Compile a list of ingredients and detailed instructions using the recipe below. Let me know if you would like to go over the details of the recipe.
3,"Here is a revised step for you: ""These roasted sweet potato cubes are flavored with a simple mix of dried oregano, salt, and pepper, but feel free to customize the seasonings to your preference."""
4,"Here are the steps to reword:

1. Preheat the oven to 350 degrees F (175 degrees C). 
2. Grease a 9x13 inch baking pan. 
3. In a medium mixing bowl, cream together the shortening, margarine, white sugar, and brown sugar until smooth. 
4. Beat in the eggs one by one, then stir in the peanut butter and vanilla. 
5. Combine the flour, cocoa, baking powder, baking soda, and cream of tartar. 
6. Stir the dry ingredients into the sugar mixture. 
7. Mix in the oats, walnuts (if desired), and chocolate chips. 
8. Drop rounded spoonfuls of dough onto the prepared cookie sheets. 
9. Bake for 8 to 10 minutes in the preheated oven. 
10. Allow cookies to cool on the baking sheet for 5 minutes before moving them to a wire rack to cool completely. 

Please let me know if you need further assistance with rewording the steps."
5,"Bake the sweet potatoes until fork-tender in a preheated 350°F oven, usually around 45 minutes for three large cubed sweet potatoes."
6,Preheat oven to 350 degrees F. Grease cookie sheets.
7,"You can refrigerate any leftover baked sweet potato cubes in an airtight container, and they will stay fresh for up to five days."
8,"Bob Seale enthusiastically praises this sweet potato dish, noting its delicious flavor. He shares that he roasted the sweet potatoes on a baking sheet, turning them midway to attain a crispy texture. Just before serving, Bob drizzled a few drops of fresh lemon juice over them for a flavorful touch."
9,"“This dish received high praise,” remarked <a data-component=""link"" data-ordinal=""1"" data-source=""inlineLink"" data-type=""internalLink"" href=""https://www.allrecipes.com/cook/15867062"">Patti Copeland Talcott</a>. “I paired it with a pork loin roast, and it was a fantastic blend. Super simple to prepare and absolutely delicious.”"
10,"""Linda mentioned that this recipe is straightforward to make; she substituted Herbs de Provence for oregano and plans to make it again."""
11,Corey Williams contributed to the editorial process for this recipe.
12,Collect all the necessary ingredients.
13,Preheat the oven to 350 degrees Fahrenheit (175 degrees Celsius). Lightly grease a glass or nonstick baking dish with a thin coat of olive oil.
14,"Prepare sweet potatoes by washing, peeling, and cutting them into medium-sized pieces."
15,"Stir the sweet potato cubes with olive oil in the baking dish. Add a sprinkle of oregano, salt, and pepper to season."
16,"Bake until the sweet potatoes are soft and easily pierced with a fork, typically around 45 minutes to an hour."
17,Savor the delicious baked sweet potatoes!
