step,instruction
1,"Cut chicken breasts into bite-sized pieces or thin strips."
2,"Heat olive oil in a large skillet over medium-high heat until shimmering."
3,"Add onion and cook, stirring occasionally, until softened (about 4 minutes)."
4,"Add garlic and cook for 30 seconds more, until fragrant."
5,"Add chicken strips and cook, stirring occasionally, until golden brown on all sides (about 5-7 minutes)."
6,"Stir in chili powder, cumin, smoked paprika (if using), oregano, salt, and black pepper. Cook for 1 minute to toast the spices."
7,"Pour in crushed tomatoes and chicken broth. Bring to a simmer, scraping up any browned bits from the bottom of the pan."
8,"Reduce heat to medium-low and simmer for 10-15 minutes, or until the chicken is cooked through and the sauce thickens slightly."
9,"While the chicken simmers, warm corn tortillas according to package instructions (microwave, stovetop, etc.). You can also wrap them in foil and heat in a warm oven (200°F) for 5-10 minutes."
10,"Prepare your desired fillings (cooked rice, beans, etc.)."
11,"Assemble enchiladas by laying a warmed tortilla flat. Spread a layer of chicken mixture down the center. You can also add a sprinkle of cheese and your desired fillings (rice, beans, etc.) if using."
12,"Fold the bottom edge of the tortilla up and over the filling. Then fold in the sides, like a business letter. Roll the enchilada tightly, starting from the bottom."
13,"Pour about 1 cup of enchilada sauce into the bottom of a 9x13 inch baking dish. Arrange the rolled enchiladas seam side down in the baking dish."
14,"Pour the remaining enchilada sauce over the top of the enchiladas, ensuring they are mostly covered."
15,"Preheat oven to 350°F."
16,"Bake for 20-25 minutes, or until the cheese is melted and bubbly and the enchiladas are heated through."
17,"Let cool slightly before serving. Garnish with your desired toppings (sour cream, chopped onion, cilantro, chopped avocado, salsa, etc.)."
