Step,Instruction
1,"Preheat your oven to 375°F."
2,"In a large skillet, melt the butter over medium heat."
3,"Add diced yellow onion, sliced carrots, diced celery stalks, and minced garlic cloves to the skillet. Cook until the vegetables are softened, about 5-7 minutes."
4,"Stir in all-purpose flour and cook for an additional 1-2 minutes, stirring constantly."
5,"Gradually pour in chicken broth and milk, stirring constantly until the mixture thickens, about 5 minutes."
6,"Season the sauce with salt, black pepper, and dried thyme. Remove the skillet from the heat."
7,"Add cooked chicken, frozen peas, and frozen corn to the skillet. Stir until well combined."
8,"Prepare a 9-inch pie dish. Line the bottom and sides of the pie dish with one pie crust."
9,"Pour the chicken mixture into the prepared pie dish, spreading it out evenly."
10,"Place the second pie crust over the filling. Trim any excess dough and crimp the edges to seal the pie."
11,"Cut slits in the top crust to allow steam to escape during baking."
12,"Beat the egg in a small bowl and brush it over the top crust for a golden finish."
13,"Place the pie dish on a baking sheet to catch any drips and bake in the preheated oven for 40-45 minutes, or until the crust is golden brown and the filling is bubbly."
14,"Allow the chicken pot pie to cool for a few minutes before serving. Enjoy!"
