step,instruction
1,"Pick over the dried beans and rinse them thoroughly. Soak the beans in a large bowl of cold water for at least 8 hours, or overnight."
2,"Drain the soaked beans and rinse them again."
3,"In a large Dutch oven or heavy-bottomed pot, combine the beans, chicken pieces, duck confit legs (if using), sliced sausage, onion, carrot, celery, garlic cloves, thyme, bay leaves, chicken broth, and red wine. Bring to a boil, then reduce heat to low, cover, and simmer for 1.5-2 hours, or until the beans are tender."
4,"While the beans are simmering, preheat oven to 325°F."
5,"Remove the chicken pieces and duck confit legs (if using) from the pot and set aside to cool slightly. Once cool enough to handle, remove the meat from the bones and shred it into bite-sized pieces."
6,"Discard the bay leaves from the bean mixture. Season with salt and pepper to taste."
7,"In a small skillet, heat olive oil over medium heat. Add the breadcrumbs and cook, stirring frequently, until golden brown. Set aside."
8,"In a large baking dish, combine the cooked beans with the shredded chicken and duck meat (if using). Pour the bean cooking liquid over the top."
9,"Arrange the browned breadcrumbs evenly over the top of the cassoulet."
10,"Bake uncovered for 1-1.5 hours, or until the top is golden brown and bubbly."
11,"Let the cassoulet rest for at least 15 minutes before serving."
