Step,Instruction
1,"In a large bowl, whisk together the flour, baking powder, salt, and sugar.'"
2,"In another bowl, beat the eggs.'"
3,"Stir in the milk, melted butter, and vanilla extract.'"
4,'Pour the wet ingredients into the dry ingredients and stir until just combined. The batter may be slightly lumpy; do not overmix.'
5,'Gently fold in the blueberries.'
6,'Preheat a waffle iron according to manufacturer's instructions.'
7,'Pour enough batter onto the preheated waffle iron to cover the grids.'
8,"Close the waffle iron and cook until the waffles are golden brown and crispy, about 4-5 minutes.'"
9,'Carefully remove the waffles from the waffle iron and serve immediately.'
10,"Repeat with the remaining batter, greasing the waffle iron as needed.'"
11,'Serve the waffles warm with additional blueberries and maple syrup.'
12,'Enjoy delicious blueberry waffles!'
