Step,Instruction
1,"Preheat grill to medium-high heat (around 400 degrees Fahrenheit)."
2,"Wash salmon fillet and pat dry with paper towels."
3,"Zest and juice the lemon."
4,"Finely chop fresh dill."
5,"In a small bowl, combine olive oil, lemon zest, lemon juice, dill, salt, and pepper."
6,"Rub the marinade evenly over the salmon fillet."
7,"Place salmon fillet on the preheated grill, skin-side down."
8,"Cook for about 5-7 minutes per side, or until the internal temperature reaches 145 degrees Fahrenheit."
9,"Remove from grill and let rest for a few minutes before serving."
10,"Garnish with additional lemon slices and fresh dill if desired."
