Step,Instruction
1,"Preheat the oven to 375°F. Grease a baking dish with olive oil."
2,"Slice the eggplant and potatoes into 1/4-inch thick rounds. Place them in a single layer on baking sheets lined with parchment paper. Drizzle with olive oil and sprinkle with salt and pepper. Roast in the preheated oven for 20-25 minutes, until tender. Set aside."
3,"Heat olive oil in a large skillet over medium heat. Add diced onion and cook until translucent, about 5 minutes."
4,"Add minced garlic cloves to the skillet and cook for an additional 1-2 minutes, until fragrant."
5,"Add ground lamb to the skillet, breaking it apart with a spoon. Cook until browned and no longer pink."
6,"Stir in tomato paste, red wine, canned diced tomatoes, cinnamon, allspice, salt, and black pepper. Simmer for 15-20 minutes, until the sauce thickens slightly. Remove from heat."
7,"In a saucepan, melt butter over medium heat. Whisk in all-purpose flour to create a roux. Cook for 1-2 minutes, until golden brown."
8,"Gradually whisk in milk, stirring constantly, until the sauce thickens. Remove from heat and stir in grated Parmesan cheese, egg yolks, and nutmeg."
9,"Layer half of the roasted eggplant and potatoes in the bottom of the prepared baking dish. Spoon the lamb mixture on top, spreading it out evenly. Layer the remaining eggplant and potatoes on top."
10,"Pour the cheese sauce over the top layer of eggplant and potatoes, spreading it out evenly."
11,"Bake the moussaka in the preheated oven for 45-50 minutes, until the top is golden brown and bubbly."
12,"Remove from the oven and let it cool for a few minutes before serving. Enjoy!"
