Step,Instruction
1,"Preheat your oven to 325°F."
2,"Trim excess fat from the pork shoulder and cut it into large chunks."
3,"In a small bowl, mix together salt, black pepper, cumin, chili powder, garlic powder, and onion powder to make the spice rub."
4,"Rub the spice mixture all over the pork chunks, ensuring they are evenly coated."
5,"Heat olive oil in a large oven-safe skillet or Dutch oven over medium-high heat."
6,"Add the seasoned pork chunks to the skillet and sear on all sides until browned."
7,"Once the pork is browned, transfer the skillet or Dutch oven to the preheated oven."
8,"Roast the pork in the oven for 2.5 to 3 hours, or until it is tender and easily shreds apart."
9,"While the pork is cooking, prepare the taco toppings. Thinly slice the red onion, chop the fresh cilantro, and slice the lime into wedges. Mash the avocado."
10,"Once the pork is cooked, remove it from the oven and let it cool slightly. Shred the pork using two forks."
11,"Warm the corn tortillas in a dry skillet or in the oven."
12,"To assemble the tacos, fill each warm tortilla with shredded pork and top with sliced red onion, chopped cilantro, a squeeze of lime juice, and a dollop of mashed avocado."
13,"Drizzle with sour cream if desired."
14,"Serve the pork tacos hot and enjoy!"
