Step,Instruction
1,"Preheat oven to 425 degrees Fahrenheit."
2,"In a large skillet, melt butter over medium heat. Add chopped onion, carrot, celery, and garlic. Cook until softened, about 5 minutes."
3,"Sprinkle flour over vegetables, stir to coat. Cook for 1 minute."
4,"Gradually whisk in vegetable broth and milk until smooth. Bring to a simmer and cook until thickened, about 5 minutes."
5,"Stir in frozen peas and dried thyme. Season with salt and pepper to taste."
6,"Roll out one pie crust and place in a 9-inch pie dish. Pour filling into crust."
7,"Roll out remaining pie crust and place over filling. Crimp edges to seal."
8,"Brush top crust with beaten egg."
9,"Cut a few vents in the top crust."
10,"Bake for 30-35 minutes, or until golden brown and filling is bubbly."
