Step,"Instruction"
1,"Preheat oven to 375 degrees Fahrenheit."
2,"Slice onion, garlic, zucchini, eggplant, yellow squash, and bell pepper into 1/4-inch thick rounds."
3,"Core tomatoes and cut into large chunks."
4,"Heat olive oil in a large oven-safe skillet over medium heat."
5,"Add onion and garlic to the skillet and cook until softened, about 5 minutes."
6,"Layer the sliced vegetables in the skillet, starting with eggplant, zucchini, yellow squash, and bell pepper. Season each layer with salt, pepper, and herbes de Provence."
7,"Arrange tomato chunks on top of the vegetable layers."
8,"Drizzle remaining olive oil over the vegetables."
9,"Cover the skillet with foil and bake for 45-60 minutes, or until vegetables are tender."
10,"Remove the foil and bake for an additional 15 minutes to allow the vegetables to caramelize."
11,"Garnish with fresh basil before serving."
