Step,Instruction
1,"Preheat your oven to 400°F."
2,"In a small bowl, mix together salt, black pepper, garlic powder, onion powder, and paprika to make the dry rub."
3,"Pat the pork tenderloin dry with paper towels, then season it evenly with the dry rub."
4,"In a separate bowl, whisk together olive oil, Dijon mustard, honey, and balsamic vinegar to make the marinade."
5,"Place the seasoned pork tenderloin in a baking dish or roasting pan."
6,"Pour the marinade over the pork tenderloin, making sure it is well coated."
7,"Transfer the baking dish or roasting pan to the preheated oven."
8,"Roast the pork tenderloin for 20-25 minutes, or until it reaches an internal temperature of 145°F."
9,"Once the pork tenderloin is cooked through, remove it from the oven and let it rest for 5-10 minutes."
10,"Slice the pork tenderloin into thick slices and serve hot."
