Step,Instruction
1,"Prepare sushi rice according to package instructions and let cool."
2,"Combine rice vinegar, sugar, and salt in a small bowl. Microwave for 30 seconds, stir, then pour over rice."
3,"Chop tuna into small pieces."
4,"Combine tuna, mayonnaise, and sriracha in a bowl."
5,"Slice avocado and cucumber into long thin strips."
6,"Lay a sheet of nori shiny side down on a sushi rolling mat."
7,"Spread a thin layer of sushi rice over the nori, leaving a top edge clear."
8,"Place a line of tuna mixture down the center of the rice."
9,"Add avocado and cucumber slices on top of the tuna."
10,"Use the sushi mat to roll the sushi into a tight log."
11,"Moisten the edge of the nori with water to seal."
12,"Refrigerate for 30 minutes."
13,"Cut the roll into 8 equal pieces."
14,"Sprinkle with sesame seeds."
