step,instruction
1,"In a large Dutch oven, combine pork shoulder, water, onion, garlic cloves, and 1.5 teaspoons of salt. Bring to a boil, then reduce heat and simmer covered for 2.5 hours, or until pork is very tender."
2,"Remove pork from broth and let both cool slightly. Shred pork using two forks, discarding any fat. Strain broth and reserve 6 cups."
3,"In a separate saucepan, heat red chili sauce over medium heat. Add shredded pork and simmer, covered, for 10 minutes."
4,"In a large bowl, beat shortening on medium speed for 1 minute using an electric mixer."
5,"In a separate bowl, whisk together masa harina, baking powder, and remaining 2 teaspoons of salt."
6,"Gradually add the dry ingredients to the shortening mixture, beating on low speed until just combined."
7,"Slowly add the reserved pork broth, a little at a time, until a soft dough forms. The dough should be slightly sticky but not wet. Beat on high speed for several minutes until smooth and elastic."
8,"Soak dried corn husks in a large bowl of hot water for at least 30 minutes, or until softened and pliable. Rinse each husk under running water to remove any dirt."
9,"Spread a thin layer of masa dough onto the wide end of a softened corn husk. Place about 2 tablespoons of pork filling in the center of the dough. Fold the sides of the husk over the filling to enclose it. Fold the bottom of the husk up to create a closed package."
10,"Repeat step 9 with remaining dough and filling. Arrange tamales standing upright in a steamer basket. If necessary, steam tamales in batches."
11,"Fill a steamer pot with enough water to reach just below the steamer basket. Bring water to a boil, then reduce heat to medium-low. Steam tamales for 1-1.5 hours, or until the masa is cooked through and easily detaches from the corn husk."
12,"Let tamales cool slightly before serving. Enjoy!"
