step,instruction
1,"Trim any excess fat from the pork shoulder. Cut the pork into bite-sized pieces."
2,"Heat olive oil in a large Dutch oven or heavy-bottomed pot over medium heat until shimmering."
3,"Add onion and cook, stirring occasionally, until softened (about 5 minutes)."
4,"Add garlic and cook for 1 minute more. Do not brown."
5,"Stir in cumin, chili powder, oregano, paprika, salt, and black pepper. Cook for 1 minute to release the fragrance of the spices."
6,"Add the pork pieces, chicken broth, orange juice, and lime juice. Bring to a simmer, then reduce heat to low, cover, and cook for 2-2.5 hours, or until the pork is very tender and easily shreds with two forks."
7,"While the pork cooks, warm corn tortillas according to package instructions (microwave, stovetop, etc.)."
8,"Once the pork is cooked, remove it from the pot with a slotted spoon and shred it with two forks. Discard any large pieces of fat."
9,"**Optional:** To crisp the pork, increase the heat to medium and return the shredded pork to the pot. Cook for 5-7 minutes, stirring occasionally, until the edges of the pork start to brown."
10,"Assemble tacos by placing a scoop of shredded pork in each tortilla. Top with chopped cilantro and your desired taco toppings (chopped onion, salsa, avocado slices, etc.)."
11,"Serve immediately and enjoy!"
