step,instruction
1,"Heat olive oil in a large skillet over medium heat until shimmering."
2,"Add onion and cook, stirring occasionally, until softened (about 4 minutes)."
3,"Add bell pepper and mushrooms. Cook for an additional 5 minutes, or until the vegetables are softened."
4,"Stir in black beans and corn. Heat through for 2-3 minutes."
5,"Add chili powder, cumin, smoked paprika (if using), salt, and black pepper. Cook for 1 minute to toast the spices."
6,"Pour in vegetable broth. Bring to a simmer, scraping up any browned bits from the bottom of the pan."
7,"Reduce heat to medium-low and simmer for 5-7 minutes, or until the flavors meld and the mixture thickens slightly."
8,"While the filling simmers, warm flour tortillas according to package instructions (microwave, stovetop, etc.). You can also wrap them in foil and heat in a warm oven (200°F) for 5-10 minutes."
9,"Prepare your desired fillings (cooked rice, quinoa, salsa, etc.)."
10,"Assemble burritos by laying a warmed tortilla flat. Spread a generous portion of the veggie mixture down the center. Top with your desired fillings (rice, quinoa, salsa, etc.) and sprinkle with shredded cheese (if using)."
11,"Fold the bottom edge of the tortilla up and over the filling. Then fold in the sides, like a business letter. Roll the burrito tightly, starting from the bottom."
12,"Optional: You can wrap the burrito in foil to keep it warm and secure the shape."
13,"Serve immediately and enjoy with chopped cilantro, lime wedges, and your favorite toppings (sour cream, guacamole, salsa, etc.)."
