step,instruction
1,"Rinse the scallops and pat them dry with paper towels. If using large scallops, cut them in half horizontally."
2,"In a large skillet, melt half the butter (2 tablespoons) over medium heat. Add the shallots and cook until softened and translucent, about 5 minutes."
3,"Add the mushrooms to the pan and cook until softened and golden brown, about 7-8 minutes. Season with salt and pepper to taste."
4,"Push the mushroom mixture to the side of the pan and add the remaining butter (2 tablespoons) to the empty side. Increase the heat to medium-high."
5,"Sear the scallops for 1-2 minutes per side, or until golden brown and just cooked through. Be careful not to overcook them."
6,"Remove the scallops from the pan and set aside."
7,"Add the white wine to the pan and scrape up any browned bits from the bottom. Let the wine simmer for a minute to reduce slightly."
8,"In a small bowl, whisk together the heavy cream, egg yolk, Dijon mustard, chopped tarragon, and chopped parsley. Slowly whisk this mixture into the pan with the reduced wine."
9,"Bring the sauce to a simmer and cook until it thickens slightly, about 2-3 minutes. Season with salt and pepper to taste."
10,"Preheat oven to 400°F (200°C)."
11,"Divide the scallop mixture (mushrooms and sauce) among the scallop shells or ramekins."
12,"Top each shell with a scallop piece and sprinkle with grated Gruyère cheese."
13,"Combine the breadcrumbs with a pinch of salt and pepper. Sprinkle the breadcrumb mixture evenly over the tops of the shells."
14,"Bake for 8-10 minutes, or until the breadcrumbs are golden brown and the sauce is bubbly."
15,"Let the Coquilles Saint-Jacques cool slightly before serving."
