Step,Instruction
1,"Cut tofu into 1/2-inch cubes."
2,"Chop onion, garlic, and bell peppers."
3,"Cut zucchini and yellow squash into 1/2-inch pieces."
4,"Heat olive oil in a large paella pan or skillet over medium-high heat."
5,"Sauté onion, garlic, and bell peppers until softened."
6,"Add tofu and cook until golden brown."
7,"Add zucchini, yellow squash, pimentos, and peas to the pan."
8,"Stir in rice, paprika, saffron, salt, and pepper."
9,"Pour in vegetable broth, bring to a boil, then reduce heat and simmer for 20-25 minutes, or until rice is cooked and liquid is absorbed."
10,"Garnish with lemon wedges and serve immediately."
