Step,Instruction
1,"Cut the chicken thighs into bite-sized pieces. Peel and finely chop the onion. Mince the garlic cloves. Peel and grate the ginger."
2,"Heat vegetable oil in a large skillet or pot over medium heat. Add the chopped onion and cook until softened, about 5 minutes."
3,"Add minced garlic and grated ginger to the skillet. Cook for another 1-2 minutes until fragrant."
4,"Add curry powder, ground cumin, ground coriander, turmeric, cayenne pepper, and cinnamon to the skillet. Stir well to combine and cook for 1 minute."
5,"Add the chicken pieces to the skillet. Cook until the chicken is browned on all sides, about 5 minutes."
6,"Pour in the coconut milk, tomato paste, and chicken broth. Stir to combine."
7,"Peel and chop the carrots and potatoes into bite-sized pieces. Add them to the skillet."
8,"Bring the mixture to a simmer, then reduce the heat to low. Cover and let it simmer for 20-25 minutes, or until the chicken is cooked through and the vegetables are tender."
9,"Stir in the frozen peas and cook for an additional 5 minutes."
10,"Season with salt and black pepper to taste."
11,"Garnish with fresh cilantro."
12,"Serve the chicken curry hot over cooked rice."
